Name,Year Published,Users Rated,Rating Average
Eggs and Empires,2014,862,6.71
PAX,2011,795,6.78
Apotheca,2016,1025,6.71
Flash Duel: Second Edition,2011,775,6.86
Loopin' Chewie,2014,1687,6.33
Castle Dice,2013,964,6.67
Potato Man,2013,849,6.72
Don't Get Got!,2018,568,7.18
Hordes,2006,465,7.56
Bargain Hunter,1998,822,6.74
Rockwell,2013,575,7.13
Sherlock: The Tomb of the Archaeologist,2018,804,6.78
Dragon's Breath,2017,936,6.66
Papà Paolo,2016,660,6.98
War of 1812,1973,637,7.03
Game of Trains,2015,1661,6.36
Lost Legends,2013,1307,6.45
Divvy Dice,2020,625,7.0
Word Domination,2017,599,7.1
Dust,2007,1430,6.45
Toledo,2008,1988,6.27
The Island of El Dorado,2018,1374,6.81
Trick of the Rails,2011,869,6.68
Dungeon Universalis,2019,454,8.99
The Binding of Isaac: Four Souls,2018,1241,6.94
Monikers: The Shut Up & Sit Down Nonsense Box,2017,303,8.1
Ugg-Tect,2009,1820,6.3
Courtier,2012,905,6.66
Spinderella,2015,1321,6.48
Tantrix,1991,1874,6.33
Bad Bones,2019,679,7.02
Herbaceous Sprouts,2019,590,7.08
Tiefe Taschen,2016,511,7.23
Uchronia,2012,1173,6.5
Heartland,2009,714,6.84
Fische Fluppen Frikadellen,2002,986,6.59
Catan Histories: Struggle for Rome,2006,1360,6.43
Excape,1998,1575,6.34
Caesar: Epic Battle of Alesia,1976,612,7.1
Renature,2020,399,7.71
Curious Cargo,2020,421,7.53
Midgard,2007,1004,6.58
Welcome to Centerville,2017,626,6.98
Was sticht?,1993,619,6.96
Fossilis,2020,452,7.55
SPQR,1992,472,7.38
Terrors of London,2019,562,7.29
Deckscape: Behind the Curtain,2019,597,7.02
Taco Cat Goat Cheese Pizza,2018,751,6.96
Grimoire,2010,1342,6.42
Panzer: The Game of Small Unit Actions and Combined Arms Operations on the Eastern Front 1943-45,2012,407,7.78
London Dread,2016,901,6.72
The Dark Valley,2013,389,7.94
Star Fleet Battles: Captain's Edition Basic Set,1990,483,7.48
Guildhall Fantasy: Fellowship,2016,565,7.13
Rolling Freight,2012,727,6.8
Rat-a-Tat Cat,1995,2865,6.22
The Mines of Zavandor,2010,969,6.59
Trogdor!! The Board Game,2019,658,7.03
Scarabya,2018,928,6.64
Perdition's Mouth: Abyssal Rift,2016,537,7.56
Travel Carcassonne,2007,500,7.24
Deadwood 1876,2018,1029,6.65
Space Gate Odyssey,2019,566,7.14
The Korean War June 1950-May 1951,1986,412,7.64
Unpublished Prototype,0,804,6.9
Unmatched Game System,2019,266,8.61
Smart10,2017,446,7.46
Ice Flow,2008,1378,6.41
Godzilla: Tokyo Clash,2020,468,7.59
Opera,2009,1001,6.62
Ligretto,1988,3502,6.18
Augsburg 1520,2006,1229,6.44
Mystery Rummy: Murders in the Rue Morgue,1999,805,6.73
Rent a Hero,2012,1581,6.35
Confucius,2008,698,6.83
Shipwrights of the North Sea,2014,1402,6.42
Asia Engulfed,2007,418,7.56
Overseers,2015,943,6.69
Navia Dratp,2004,571,7.17
Jenseits von Theben,2004,544,7.13
Battleball,2003,2068,6.27
Slide 5,2007,1046,6.53
Cheaty Mages!,2008,1911,6.26
New Dawn,2014,687,6.89
Canterbury,2013,626,6.96
Quebec 1759,1972,686,6.94
Breaking Away,1991,448,7.33
Keltis: Das Orakel,2010,661,6.89
Voodoo Prince,2017,575,7.02
Indulgence,2017,698,6.82
Dos Rios,2004,1348,6.42
Hand of Fate: Ordeals,2018,548,7.34
Afrika: 2nd Edition,2006,404,7.56
18EU,2001,375,7.59
War of the Worlds: The New Wave,2019,556,7.26
Tongiaki: Journey into the Unknown,2004,2285,6.23
Enchanters: Overlords,2018,425,7.55
D100 Dungeon,2017,491,7.76
If Wishes Were Fishes!,2007,1136,6.49
Dungeons & Dragons: Waterdeep - Dungeon of the Mad Mage,2019,480,8.0
Quartz,2015,750,6.9
Valparaíso,2018,665,6.9
Wise and Otherwise,1997,972,6.65
Sabotage,2019,433,7.46
The Bucket King,2002,1551,6.33
Team Play,2015,602,6.95
Risk: Game of Thrones,2015,1318,6.74
Madame Ching,2014,1139,6.47
Codex: Card-Time Strategy - Core Set,2016,410,7.53
Taluva Deluxe,2015,338,7.82
Legendary: Big Trouble in Little China,2016,604,7.08
Dungeons & Dragons Basic Game,2004,807,6.79
Wellington: The Peninsula War 1812-1814,2005,633,6.93
Conquest of the Fallen Lands,2005,765,6.79
Star Wars: Empire vs. Rebellion,2014,1691,6.32
Escape Room in a Box: The Werewolf Experiment,2016,520,7.15
Starship Troopers,1976,1183,6.52
Carcassonne: Safari,2018,584,7.08
Wacky Wacky West,1991,1735,6.29
Survive: Space Attack!,2015,559,7.05
Order of the Gilded Compass,2016,621,6.92
Aqua Romana,2005,1594,6.32
"13 Minutes: The Cuban Missile Crisis, 1962",2017,1118,6.46
Leaping Lemmings,2010,1180,6.44
Buccaneer,2006,1688,6.28
Micropul,2004,784,6.77
Chai,2020,636,7.08
Nevsky: Teutons and Rus in Collision 1240-1242,2019,294,8.29
King of the Dice,2017,753,6.78
Tunisia,1995,384,7.76
Small Islands,2018,663,6.93
Bravo!,2019,457,7.34
Nuclear War,1965,2811,6.21
Triumvirate,2009,757,6.72
Ankh'or,2019,597,7.03
Rocky Road à la Mode,2017,729,6.77
Battle for Germany,1975,533,7.14
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,2020,261,8.54
Goldbräu,2004,1267,6.41
Beowulf: The Movie Board Game,2007,1543,6.38
Bring Your Own Book,2015,668,6.87
Close Action: The Age of Fighting Sail Vol. 1,1997,365,7.83
Municipium,2008,800,6.68
Bombay,2009,1667,6.3
Dragon's Hoard,2014,1204,6.48
DC Comics Dice Masters: War of Light,2015,474,7.3
1906 San Francisco,2018,444,7.3
Good & Bad Ghosts,1980,1419,6.36
OctoDice,2015,1069,6.5
Cave Evil,2011,357,7.94
"1066, Tears to Many Mothers",2018,566,7.15
Keltis: Der Weg der Steine Mitbringspiel,2009,1155,6.45
Micro Mutants: Evolution,2007,920,6.61
Amul,2019,590,6.99
Lunarchitects,2016,451,7.29
Summit: The Board Game,2017,631,7.18
Noah,2012,1099,6.51
Doodle Quest,2014,758,6.72
Pax Emancipation,2018,352,7.65
Mr. Cabbagehead's Garden,2016,488,7.21
Vs System,2004,811,6.77
Glorantha: The Gods War,2019,333,8.11
Magnastorm,2018,698,6.84
Sonora,2020,486,7.24
Railways of Nippon,2018,338,7.72
Dungeon Mayhem: Monster Madness,2020,371,7.76
Deckscape: The Mystery of Eldorado,2018,925,6.59
Dark Souls: The Card Game,2018,766,6.98
Compatibility,1996,1123,6.52
Clippers,2002,928,6.59
"Warhammer 40,000 (Eighth Edition)",2017,370,7.7
13 Clues,2016,714,6.78
Dungeons & Dragons Dice Masters: Faerûn Under Siege,2016,387,7.59
Catan Geographies: Germany,2008,659,6.88
Campaign Trail,2019,360,7.82
Great War Commander,2018,300,8.39
Pendulum,2020,807,6.73
Cockroach Salad,2007,2610,6.16
Cities,2008,1172,6.41
Kaleidos,1994,799,6.71
Advanced Squad Leader: Starter Kit Expansion Pack #1,2011,292,8.28
Agility,2016,542,7.08
Stellar,2020,389,7.6
Xi'an,2017,455,7.28
Mai-Star,2010,1041,6.53
War of the Ring,1977,946,6.66
Munchkin Adventure Time,2014,1562,6.48
Meeple War,2016,856,6.64
The Dragon & Flagon,2016,1169,6.45
Burger Up,2016,731,6.87
Song of Blades and Heroes: Revised Edition,2007,371,7.77
TEAM3 GREEN,2019,525,7.11
Posthuman,2015,1201,6.51
Sakura Arms,2016,429,7.61
Yardmaster,2014,1432,6.35
Small Star Empires,2016,547,7.24
Ace of Aces: Powerhouse Series,1981,471,7.27
Hearts and Minds: Vietnam 1965-1975,2010,381,7.5
Starship Samurai,2018,579,7.07
Mogul,2015,665,6.81
Munchkin Zombies,2011,3143,6.22
Firefly Adventures: Brigands and Browncoats,2018,605,7.09
Sewer Pirats,2012,876,6.62
The Siege of Jerusalem (Third Edition),1989,552,7.09
Pylos,1993,1645,6.32
British Rails,1984,660,6.92
Battle Hymn,1986,412,7.53
Nautilus,2002,1384,6.38
Histrio,2016,953,6.58
Metallum,2013,499,7.14
Liberty: The American Revolution 1775-83,2003,486,7.2
Time's Up! Academy,2009,459,7.23
Tail Feathers,2015,619,7.07
Traditional Card Games,0,885,6.61
The Cousins' War,2017,485,7.23
Tally Ho!,1973,2717,6.14
Darwin's Journey,2021,325,7.95
Marvel Dice Masters: Civil War,2016,434,7.33
Riichi Mahjong,0,306,8.36
Roll for Adventure,2018,697,6.84
Attack on Titan: Deck-Building Game,2016,636,6.99
Funkoverse Strategy Game: Harry Potter 100,2019,629,6.96
Andromeda,1999,1285,6.38
Rescue Polar Bears: Data & Temperature,2017,458,7.24
"Win, Place & Show",1966,823,6.71
Il Principe,2005,1180,6.42
Among the Stars: Revival,2015,444,7.2
Dungeons & Dragons: Attack Wing,2014,544,7.22
Ponte del Diavolo,2007,1075,6.49
Kingdom of Solomon,2012,594,6.94
Great Wall of China,2006,2026,6.2
Trekking the National Parks,2014,575,7.03
Nuclear Escalation,1983,946,6.58
Cosmic Encounter,2000,1275,6.41
City Tycoon,2011,959,6.52
Risk: Godstorm,2004,2455,6.27
Rangers of Shadow Deep,2018,306,8.73
Codenames: Harry Potter,2018,729,6.79
India Rails,1998,540,7.08
France '40,2013,336,7.74
Court of the Medici,2009,876,6.58
Tavarua,2016,488,7.19
Maharani,2012,883,6.58
Sharp Shooters,1994,1208,6.42
Rattlebones,2014,989,6.5
Speculation,1992,764,6.68
Zero!,2001,594,6.94
Bamboleo,1996,1397,6.35
Melee,1977,660,7.3
Abandon All Artichokes,2020,523,7.12
Quartermaster General: Victory or Death - The Peloponnesian War,2016,459,7.22
Utopia Engine,2010,751,6.9
Cairn,2019,383,7.58
Monikers: Shmonikers,2015,279,8.04
Cry Havoc,1981,700,6.86
Lanterns Dice: Lights in the Sky,2019,573,6.97
Mistfall: Heart of the Mists,2016,423,7.43
Malifaux,2009,416,7.51
Battle Masters,1992,2179,6.28
Impact: Battle of Elements,2018,782,6.69
Here Come the Rebels,1993,350,7.68
Illuminati,1982,2649,6.2
Deckscape: The Fate of London,2017,1511,6.29
Patchwork Express,2018,571,7.01
Kingdom Defenders,2018,353,7.76
Tanto Cuore: Romantic Vacation,2010,405,7.51
Time's Up! Family,2010,518,7.05
Eketorp,2003,1308,6.36
Ruhrschifffahrt 1769-1890,2012,442,7.22
Captains of Industry,2015,515,7.08
504,2015,1506,6.3
DOG,1997,1371,6.37
Havoc: The Hundred Years War,2005,753,6.68
X-ODUS: Rise of the Corruption,2020,388,8.14
Ur,2006,959,6.5
Emerald,2002,1297,6.35
Atlantis Rising,2012,943,6.54
Way of the Panda,2018,601,6.93
Alcatraz: The Scapegoat,2011,1433,6.33
Early American Chrononauts,2004,902,6.61
11 nimmt!,2010,1468,6.3
Evolution: The Origin of Species,2010,1923,6.29
Das Motorsportspiel,1995,374,7.45
Luchador! Mexican Wrestling Dice,2013,1128,6.46
VektoRace,2018,355,8.09
Mint Delivery,2017,1714,6.27
Magical Athlete,2002,1007,6.5
Unicorn Fever,2020,406,7.46
Subatomic: An Atom Building Game,2018,542,7.05
Junta: Viva el Presidente!,2010,1267,6.42
Hellas,2002,2060,6.19
Machina Arcana (Second/Third Edition),2019,351,8.0
Escape the Dark Sector,2020,456,8.2
Tycoon,1998,668,6.78
Aliens: Another Glorious Day in the Corps,2020,466,7.76
Key Largo,2005,844,6.6
Advanced Third Reich,1992,730,6.89
Articulate!,1992,1175,6.53
Elfenroads,2015,525,7.05
Fireball Island,1986,1541,6.44
Antics!,2010,535,6.95
Lobotomy,2017,586,7.26
Resident Evil 2: The Board Game,2019,610,7.53
Pacific Typhoon,2008,782,6.65
Full Thrust,1992,443,7.3
Techno Bowl: Arcade Football Unplugged,2017,266,8.58
Rise of the Luftwaffe,1993,521,7.05
1882: Assiniboia,2019,243,8.23
Pocket Battles: Celts vs. Romans,2009,1236,6.4
Vengeance,2018,570,7.17
Santo Domingo,2017,744,6.67
The Battle for Normandy,2009,324,7.92
Reds! The Russian Civil War 1918-1921,2001,460,7.27
Tarot,1425,712,6.82
Mezo,2020,422,7.39
Lost Legacy: Second Chronicle - Vorpal Sword & Whitegold Spire,2015,636,6.81
2GM Tactics,2015,501,7.62
Cursed Court,2017,452,7.2
Barbarossa,1988,1410,6.33
Penguin Party,2008,1053,6.45
Saga,2011,309,7.98
Family Business,1982,3978,6.08
Penny Press,2015,899,6.54
Seven Dragons,2011,1717,6.28
Struggle for Catan,2011,2404,6.16
Star Trek Deck Building Game: The Next Generation,2011,1156,6.48
Dungeons & Dragons Miniatures,2003,1062,6.54
Moongha Invaders: Mad Scientists and Atomic Monsters Attack the Earth!,2010,730,6.69
The Red Dragon Inn: Battle for Greyport,2016,537,7.16
The Mind Extreme,2019,482,7.12
City of Gears,2012,777,6.69
Axis Empires: Totaler Krieg!,2011,256,8.33
Kings of Israel,2014,426,7.32
Nightfall: The Coldest War,2012,412,7.27
Axis & Allies: Battle of the Bulge,2006,787,6.75
Pay Dirt,2014,675,6.76
Dinosaur Tea Party,2018,769,6.68
Bumúntú,2019,519,7.02
Last Aurora,2020,393,7.68
Merchants,2007,830,6.58
BattleCON: Trials of Indines,2016,264,8.32
Fresh Fish,2014,566,6.88
The Faceless,2018,786,6.82
Burma: The Campaign in Northern Burma,1999,317,7.86
Cubist,2014,638,6.78
Donning the Purple,2018,444,7.27
Fast Forward: FORTRESS,2017,1275,6.33
America,2016,609,6.83
Monopoly Gamer,2017,1566,6.41
Counterfeiters,2018,544,6.97
Unlock!: Exotic Adventures - Expedition: Challenger,2019,554,6.92
TEAM3 PINK,2019,504,7.06
10 Minute Heist: The Wizard's Tower,2017,999,6.48
Star Munchkin,2002,4647,6.12
Rory's Story Cubes: Voyages,2011,871,6.57
Stonewall Jackson's Way,1992,363,7.57
The Game of 49,2014,1113,6.41
Volldampf,2001,583,6.85
Jerusalem,2010,753,6.72
Laser Chess,2011,734,6.73
Unlock!: Exotic Adventures - Night of the Boogeymen,2019,564,6.87
DC Comics Dice Masters: World's Finest,2016,372,7.45
Concept Kids: Animals,2018,471,7.11
Call of Cthulhu: Collectible Card Game,2004,676,6.86
Blackbeard,1991,1407,6.35
B-17 Flying Fortress Leader,2017,325,8.15
Gonzaga,2009,831,6.59
"Thirty Years War: Europe in Agony, 1618-1648",2001,643,6.88
Lectio,2004,606,6.84
Drakon (Fourth Edition),2015,919,6.57
Nottingham,2006,1474,6.26
Marrying Mr. Darcy,2014,1273,6.41
Kaosball: The Fantasy Sport of Total Domination,2014,741,6.67
World at War: Blood and Bridges,2008,376,7.61
Thunder Road,1986,778,6.65
Auf Achse,1987,1639,6.24
Pax Britannica: The Colonial Era 1880 to the Great War,1985,752,6.74
Tomb,2008,1362,6.32
Axis & Allies:  Guadalcanal,2007,658,6.9
Realm of Sand,2018,618,6.91
Cadwallon: City of Thieves,2010,1659,6.29
Spheres of Influence: Struggle for Global Supremacy,2016,376,7.88
Korea: The Forgotten War,2003,293,8.08
"Goblins, Inc.",2012,1057,6.42
Legendary Inventors,2016,1180,6.39
Light Speed,2003,1203,6.35
Godspeed,2020,419,7.32
Ultimate Werewolf: Inquisition,2013,877,6.55
War at Sea (Second Edition),1976,976,6.5
Fist of Dragonstones,2002,2116,6.16
High Treason: The Trial of Louis Riel,2016,395,7.32
Formula Dé Mini,2003,894,6.52
The Mighty Endeavor,2005,393,7.38
Tudor,2018,557,6.93
Mythos,1996,811,6.64
Sheep & Thief,2014,728,6.64
Carrier: The Southwest Pacific Campaign - 1942-1943,1990,394,7.4
Sequence,1982,7513,6.02
Battle Above the Clouds,2010,266,8.14
Mutant Meeples,2012,774,6.63
Space Race: The Card Game,2017,596,6.94
Zona: The Secret of Chernobyl,2019,464,7.47
Legendary: A James Bond Deck Building Game,2019,304,7.86
Stalingrad Pocket: The Wehrmacht's Greatest Disaster - 2nd Edition,1996,420,7.33
Munchkin Apocalypse,2012,1348,6.46
WeyKick,2001,501,6.94
Deadline,2017,632,6.78
Dust Tactics: Revised Core Set,2011,445,7.37
Asteroyds,2010,1154,6.36
The Burning Blue,2006,339,7.67
Rome & Roll,2020,447,7.14
Gods Love Dinosaurs,2020,358,7.43
Gaïa,2014,1440,6.26
The King's Abbey,2016,590,6.95
18OE: On the Rails of the Orient Express,2014,267,8.13
Hanafuda,1701,726,6.72
Catacombs & Castles,2017,579,6.86
Kick-Ass: The Board Game,2018,431,7.33
Nosferatu,2013,821,6.6
Magna Grecia,2003,809,6.56
Batavia,2008,1138,6.4
Bison: Thunder on the Prairie,2006,1292,6.32
Royal Visit,2006,1198,6.35
Nippon Rails,1992,593,6.88
Guderian's Blitzkrieg II,2001,281,8.14
Dracula,2003,1667,6.22
Illuminati: New World Order,1994,1253,6.38
Funkoverse Strategy Game: DC Comics 100,2019,504,7.07
X nimmt!,2016,591,6.81
Talisman (Third Edition),1994,1591,6.34
Valley of the Mammoths,1991,1130,6.41
1841: Railways in Northern Italy,1994,266,7.99
North Wind,2014,981,6.46
Case Blue,2007,289,8.26
Lines of Action,1969,452,7.15
Wooly Wars,2002,2643,6.1
Scorpius Freighter,2018,463,7.1
PIX,2012,706,6.66
Bastogne: Screaming Eagles Under Siege 18-27 Dec' 44,2009,372,7.41
Black Stories,2004,4079,6.04
Trieste,2013,724,6.62
Starfighter,2015,627,6.78
Graenaland,2006,661,6.72
Maka Bana,2003,743,6.65
Urland,2001,768,6.57
Tsukiji,2017,412,7.33
Fortuna,2011,874,6.5
Stonewall Jackson's Way II: Battles of Bull Run,2013,218,8.57
The Agents,2013,1460,6.28
La Bataille des Quatre Bras,1991,310,7.98
Pirate Fluxx,2011,2472,6.17
Ascension: Gift of the Elements,2017,337,7.65
Monty Python Fluxx,2008,4837,6.06
Rock the Beat,2008,1249,6.32
Kingdom of Heaven: The Crusader States 1097-1291,2012,320,7.67
Cartagena 2. The Pirate's Nest,2006,902,6.48
War Room,2019,292,8.44
On the Origin of Species,2019,490,7.22
Ark,2005,1370,6.26
Roll For It!,2011,2626,6.12
Zombie in My Pocket,2007,1659,6.3
Last Friday,2016,1148,6.45
Corporate America,2013,457,7.26
Bomb Squad,2013,852,6.49
Clubs,2013,826,6.54
"A Victory Denied: Crisis at Smolensk, July-September, 1941",2009,388,7.37
Sentinel Tactics: The Flame of Freedom,2014,748,6.65
Warmaster,2000,450,7.19
Tranquility,2020,409,7.41
Aeroplanes: Aviation Ascendant,2012,745,6.6
Truffle Shuffle,2020,429,7.2
Triumph of Chaos,2005,338,7.57
Electronic Catch Phrase,2000,841,6.55
Sheepland,2012,869,6.56
Article 27: The UN Security Council Game,2012,878,6.49
Empires of the Void,2012,672,6.72
Canasta,1939,1166,6.39
Age of Mythology: The Boardgame,2003,3167,6.12
Battle For Souls,2013,635,6.91
Kulami,2011,455,7.15
CABO (Second Edition),2019,414,7.23
Igel Ärgern,1990,1012,6.41
Tahuantinsuyu,2004,399,7.19
Tyros,2002,890,6.47
Okko: Era of the Asagiri,2008,757,6.71
Flotilla,2019,384,7.32
Versailles 1919,2020,303,7.69
Attribute,2002,1078,6.38
Granada,2009,481,6.98
Uruk: Wiege der Zivilisation,2008,633,6.7
Exploding Kittens,2015,21552,6.04
Tribes: Dawn of Humanity,2018,562,6.91
Dungeoneer: Tomb of the Lich Lord,2003,2586,6.11
Escape from 100 Million B.C.,2017,556,6.9
Roads to Gettysburg,1993,301,7.74
Necromunda: Underhive,2017,326,7.87
Black Vienna,1987,458,7.02
Amazonas,2005,1229,6.33
Ristorante Italia,2011,614,6.83
Jetpack Joyride,2019,642,6.76
Break the Code,2017,395,7.28
Expancity,2018,601,6.99
Under the Lily Banners,2005,306,7.68
"Warhammer 40,000 (Fourth Edition)",2004,1111,6.48
Stellar Conflict,2015,844,6.49
Elk Fest,1999,1806,6.16
Arraial,2018,698,6.66
Infinite City,2009,1744,6.2
The Ruhr: A Story of Coal Trade,2017,486,6.96
Boomerang: Australia,2020,438,7.08
A Game of Thrones Collectible Card Game,2002,610,6.86
Raids,2018,682,6.8
Mystery of the Temples,2017,760,6.71
Friese's Landlord,2013,880,6.5
"Soviet Dawn: The Russian Civil War, 1918-1921",2009,459,7.06
Divine Right,1979,551,7.12
Detective Stories: Case 1 - The Fire in Adlerstein,2018,286,7.85
Scopa,1600,821,6.55
Axis & Allies Miniatures,2005,1087,6.51
Pluckin' Pairs,2012,610,6.73
Cosmic Encounter Duel,2020,413,7.24
The Stars Are Right,2008,1324,6.31
Tuki,2019,528,6.93
Arena: For the Gods!,2017,848,6.51
Hive Mind,2016,459,7.11
Terminator Genisys: Rise of the Resistance,2018,281,8.3
Hart an der Grenze,2006,940,6.45
Tin Goose,2016,482,6.96
Big Points,2008,874,6.46
Fealty,2011,646,6.68
Endangered,2020,325,7.66
Rolling Ranch,2019,588,6.81
Gloria Picktoria,1996,1048,6.35
Piraten kapern,2012,1233,6.34
The Lord of the Rings: The Two Towers Deck-Building Game,2013,583,6.86
Barbarossa,2010,594,6.84
Boomerang,2018,436,7.06
Successors (First/Second Edition),1997,484,7.02
Direwild,2018,365,7.61
Province,2014,1243,6.3
Demon Worker,2016,432,7.08
Mechanica,2020,559,7.0
Elements,2010,541,6.83
Smash Up: That '70s Expansion,2018,327,7.58
Journal 29: Interactive Book Game,2017,451,7.09
Exoplanets,2015,757,6.6
Biosphere,2017,343,7.41
Lagoon: Land of Druids,2014,1303,6.3
Origami,2017,614,6.76
Fleet Wharfside,2015,494,6.91
Lascaux,2007,1069,6.35
Bugs in the Kitchen,2013,1777,6.17
Reworld,2017,617,6.84
"DAK2: The Campaign in North Africa, 1940-1942",2004,273,8.29
Yggdrasil Chronicles,2019,368,7.43
"Celles: The Ardennes, December 23-27, 1944",2012,277,7.85
Café,2020,283,7.84
Wildlife Adventure,1985,572,6.8
Versailles,2014,799,6.52
Men of Iron,2005,545,6.86
Lost Valley: The Yukon Goldrush 1896,2014,584,6.77
Hats,2019,497,6.95
Vampire Empire,2012,616,6.73
Unicornus Knights,2016,464,7.07
Mhing,1982,670,6.68
Alhambra: The Card Game,1992,938,6.42
Grant Takes Command,2001,260,7.96
De Vulgari Eloquentia: Deluxe Edition,2019,266,7.99
Iquazú,2017,545,6.84
Stonewall in the Valley,1995,307,7.72
Exploding Kittens: Party Pack,2017,474,7.27
Marvel Villainous: Infinite Power,2020,513,7.14
1776: The Game of the American Revolutionary War,1974,964,6.5
Antidote,2013,1179,6.36
Mini Mölkky,2013,308,7.56
Munchkin Booty,2008,2007,6.23
Unspeakable Words,2007,1479,6.23
Horizons,2018,565,6.85
Too Many Cooks,2002,1071,6.34
I Go!,2003,995,6.4
Maskmen,2014,691,6.63
Siam,2005,612,6.71
"Fort Sumter: The Secession Crisis, 1860-61",2018,682,6.64
Candamir: The First Settlers,2004,1821,6.17
Dungeoneer: Vault of the Fiends,2003,1274,6.3
Run Fight or Die: Reloaded,2019,385,7.25
AT-43 Initiation Set: Operation Damocles,2006,539,6.97
Rage,1983,1677,6.19
Exit: The Game - The Stormy Flight,2019,480,6.97
Hex,1942,700,6.7
Assault on Hoth: The Empire Strikes Back,1988,501,6.97
Henchmania,2016,562,6.91
Pocket Battles: Elves vs. Orcs,2010,814,6.54
Shadows of Kilforth: A Fantasy Quest Game,2019,274,8.13
Cosmic Run,2015,414,7.14
Caribbean,2004,1493,6.21
Haleakala,2015,639,6.67
UGO!,2013,681,6.6
Terrible Swift Sword: Battle of Gettysburg Game,1976,368,7.44
Sultaniya,2014,761,6.55
Temporum,2014,1002,6.38
Biblios Dice,2015,524,6.83
Century: Golem Edition - An Endless World,2020,256,7.92
Super Fantasy: Ugly Snouts Assault,2013,549,6.83
WarCraft: The Board Game,2003,2579,6.12
Reiner Knizia's Decathlon,2003,1178,6.3
"Stalingrad '42: Southern Russia, June-December, 1942",2019,226,8.57
The Extraordinary Adventures of Baron Munchausen,1998,365,7.28
Allegiance: A Realm Divided,2015,302,8.04
Empires of the Middle Ages,1980,423,7.16
California,2006,1374,6.23
Die Kutschfahrt zur Teufelsburg,2006,722,6.58
Martian Rails,2009,387,7.23
Twilight Imperium: Second Edition,2000,525,6.91
Town Builder: Coevorden,2019,409,7.16
Crimson Company,2019,412,7.41
Kariba,2010,527,6.86
Cthulhu Fluxx,2012,2927,6.1
Quiddler,1998,3117,6.07
Honga,2018,452,7.02
Brikks,2018,876,6.43
Half Truth,2020,389,7.26
Dungeons & Dragons Starter Set,2008,332,7.61
5211,2019,856,6.46
Florenza: The Card Game,2013,517,6.84
TIME Stories Revolution: The Hadal Project,2020,380,7.25
Orient Express,1985,669,6.68
Master Thieves,2004,737,6.54
Martians: A Story of Civilization,2016,851,6.52
Junk Orbit,2018,463,7.02
Australian Rails,1994,513,6.95
Unlock!: Escape Adventures - Fifth Avenue,2017,517,6.81
Igloo Pop,2003,1210,6.25
Secrets of the Lost Tomb,2015,488,7.34
Specter Ops: Broken Covenant,2018,276,7.68
Pow Wow,2006,659,6.62
Nicht die Bohne!,1999,1019,6.34
Midway,1964,831,6.6
Brawl,1999,1151,6.35
Rory's Story Cubes: Actions,2007,937,6.41
Kaigan,2009,446,6.95
Anno 1503,2003,1284,6.27
Vs System 2PCG: The Marvel Battles,2015,554,6.98
Target for Today,2017,325,8.02
Huns,2018,564,6.89
Sumeria,2009,730,6.57
10' to Kill,2015,1199,6.28
Mijnlieff,2010,438,7.18
Bubblee Pop,2016,1014,6.39
Grog Island,2014,694,6.59
Flowerpower,2001,701,6.56
Brook City,2019,345,7.5
Christmas Tree,2017,381,7.22
"Silver Bayonet: The First Team in Vietnam, 1965 (25th Anniversary Edition)",2016,256,8.13
"Freedom in the Galaxy: The Star Rebellions, 5764 AD",1979,656,6.71
CVlizations,2015,968,6.36
Detective: A Modern Crime Board Game - Season One,2020,377,7.26
King's Breakfast,2003,1507,6.17
Via Magica,2020,500,6.91
Shifty Eyed Spies,2017,540,6.86
B-Sieged: Sons of the Abyss,2016,896,6.59
Snowblind: Race for the Pole,2016,556,6.84
Penny Arcade: The Game - Gamers vs. Evil,2011,893,6.49
Okey Dokey,2016,734,6.52
Icaion,2020,310,7.88
Imperium: Empires in Conflict - Worlds in the Balance,1977,541,6.87
Old West Empresario,2019,354,7.27
Ninety-Nine,1974,365,7.21
Race to the New Found Land,2018,498,6.88
Lock 'n Load: Forgotten Heroes - Vietnam,2003,351,7.41
Dungeon Run,2011,1501,6.24
Day & Night,2008,686,6.62
Dead Man's Doubloons,2018,666,6.74
Carthago: Merchants & Guilds,2017,497,6.9
Smile,2017,640,6.65
Yinzi,2019,298,7.58
Abandon Ship,2008,1026,6.33
Proving Grounds,2019,509,6.85
Samarkand,1980,763,6.48
Jäger und Späher,2014,509,6.86
Nuclear Proliferation,1992,760,6.55
Road Kill Rally,2010,950,6.4
Totaler Krieg!,1999,333,7.43
Porto,2019,358,7.31
Pangea,2019,413,7.19
Fool's Gold,2015,464,6.94
Cardcassonne,2009,1188,6.27
Crusader Kings,2019,600,7.0
Lunar Rails,2003,522,6.88
Franchise,2018,424,7.01
World of Warcraft: The Adventure Game,2008,1947,6.16
Gambit 7,2008,577,6.7
Bughouse Chess,1960,335,7.4
Brew Crafters: Travel Card Game,2014,972,6.33
Alchemist,2007,1357,6.21
Guilds of Cadwallon,2013,782,6.5
Twin It!,2017,477,6.92
Hegemonic,2013,542,6.81
Commands & Colors Tricorne: The American Revolution,2017,212,8.41
Anno Domini: Erfindungen,1999,555,6.74
Gin Rummy,1909,1210,6.28
Statis Pro Baseball,1971,475,7.14
Enemy Coast Ahead: The Doolittle Raid,2017,244,8.09
A Touch of Evil: Dark Gothic,2014,502,6.93
