Name,Year Published,Users Rated,Rating Average
Combat Commander: Europe,2006,5391,7.94
Magic: The Gathering,1993,32442,7.52
Captain Sonar,2016,16007,7.57
Rajas of the Ganges,2017,8826,7.7
Codenames: Duet,2017,13985,7.57
Sekigahara: The Unification of Japan,2011,4380,8.04
Just One,2018,11775,7.6
The Quest for El Dorado,2017,12131,7.61
Star Realms: Colony Wars,2015,6075,7.87
Splendor,2014,58709,7.45
Santorini,2016,27873,7.48
La Granja,2014,8756,7.67
It's a Wonderful World,2019,6061,7.88
Coimbra,2018,8494,7.69
Watergate,2019,4438,8.0
Tichu,1991,13298,7.58
Go,-2200,14843,7.64
Ticket to Ride,2004,71611,7.42
Dune: Imperium,2020,2860,8.45
Legendary: A Marvel Deck Building Game,2012,19785,7.57
Ra,1999,19097,7.47
Carcassonne,2000,101853,7.42
Zombicide: Black Plague,2015,12651,7.68
Kanban: Driver's Edition,2014,5727,7.84
Arcadia Quest,2014,9152,7.71
Goa,2004,10928,7.58
Horrified,2019,6442,7.84
The Princes of Florence,2000,14555,7.53
Cyclades,2009,17873,7.52
Secret Hitler,2016,18198,7.57
Cthulhu: Death May Die,2019,3990,8.16
Sushi Go Party!,2016,22327,7.46
Steam,2009,9567,7.59
YINSH,2003,7342,7.69
Viticulture,2013,10189,7.59
Galaxy Trucker,2007,29509,7.41
Deception: Murder in Hong Kong,2014,16001,7.5
Tyrants of the Underdark,2016,5083,7.89
Roll Player,2016,13286,7.53
Shogun,2006,12828,7.54
Isle of Skye: From Chieftain to King,2015,20425,7.44
1830: Railways & Robber Barons,1986,4694,7.88
Flamme Rouge,2016,12139,7.56
Century: Golem Edition,2017,6991,7.71
Hero Realms,2016,12203,7.6
Glory to Rome,2005,12968,7.49
Lewis & Clark: The Expedition,2013,12926,7.49
1960: The Making of the President,2007,8516,7.61
Power Grid Deluxe: Europe/North America,2014,3768,8.01
Hanamikoji,2013,11047,7.54
Bora Bora,2013,9107,7.56
Imperial,2006,8246,7.61
Dungeon Petz,2011,12707,7.47
Samurai,1998,14758,7.45
Space Base,2018,8388,7.59
Seasons,2012,20812,7.41
Imperial Settlers,2014,21089,7.41
Pulsar 2849,2017,6080,7.73
Dixit: Odyssey,2011,16717,7.45
Marco Polo II: In the Service of the Khan,2019,3040,8.17
Age of Empires III: The Age of Discovery,2007,9820,7.54
Kingdomino,2016,32277,7.35
Lords of Hellas,2018,5507,7.85
Space Alert,2008,14763,7.44
Modern Art,1992,16721,7.4
Fury of Dracula (Third/Fourth Edition),2015,11489,7.51
Glen More II: Chronicles,2019,3491,8.02
Dead of Winter: The Long Night,2016,7881,7.65
Battle Line,2000,15652,7.42
Summoner Wars: Master Set,2011,10358,7.52
Rococo,2013,7517,7.58
Exit: The Game - The Abandoned Cabin,2016,8821,7.53
Dominion (Second Edition),2016,4275,7.93
Navegador,2010,8022,7.55
Runewars,2010,7763,7.63
The Manhattan Project: Energy Empire,2016,4771,7.79
Tapestry,2019,11583,7.49
Alien Frontiers,2010,14150,7.41
Indonesia,2005,4034,7.85
Imperial 2030,2009,5728,7.69
Undaunted: Normandy,2019,4296,7.9
Burgle Bros.,2015,8409,7.54
Hannibal: Rome vs. Carthage,1996,4785,7.8
Concordia Venus,2018,2301,8.36
BattleLore (Second Edition),2013,5645,7.74
Vindication,2018,4583,7.88
Antiquity,2004,3833,7.88
Lost Ruins of Arnak,2020,2819,8.25
Western Legends,2018,6615,7.66
Cthulhu Wars,2015,4585,7.92
Hive,2000,29596,7.32
Onitama,2014,15161,7.4
Ethnos,2017,9741,7.48
Mage Wars Arena,2012,7379,7.64
Century: Spice Road,2017,18546,7.37
Aeon's End: Legacy,2019,2758,8.22
Above and Below,2015,12875,7.43
Nemo's War (Second Edition),2017,3425,7.99
Small World,2009,61747,7.26
Arboretum,2015,13125,7.39
Mysterium,2015,32087,7.3
Dungeon Lords,2009,12875,7.39
War Chest,2018,3869,7.95
The Taverns of Tiefenthal,2019,6323,7.63
KLASK,2014,5667,7.65
Telestrations,2009,12846,7.4
Bruges,2013,10275,7.43
Sid Meier's Civilization: The Board Game,2010,14425,7.41
Star Wars: Outer Rim,2019,5686,7.74
Letters from Whitechapel,2011,13721,7.4
Tikal,1999,17918,7.34
Heaven & Ale,2017,6424,7.58
Tiny Epic Galaxies,2015,15720,7.37
Merchants & Marauders,2010,12724,7.41
Cryptid,2018,7503,7.52
The Resistance,2009,35929,7.28
Glass Road,2013,9027,7.45
Mission: Red Planet (Second Edition),2015,8893,7.46
Ghost Stories,2008,19412,7.32
Acquire,1964,18214,7.34
Star Wars: Armada,2015,4589,7.85
Dixit,2008,50684,7.26
Viscounts of the West Kingdom,2020,2757,8.16
Agricola: All Creatures Big and Small,2012,12323,7.38
Takenoko,2011,35214,7.27
Here I Stand,2006,3568,7.91
Neuroshima Hex! 3.0,2006,13294,7.4
Love Letter,2012,56013,7.23
Dune,2019,3181,8.16
Evolution: Climate,2016,6082,7.62
Survive: Escape from Atlantis!,1982,20470,7.31
Altiplano,2017,6908,7.54
Die Macher,1986,5228,7.63
Harry Potter: Hogwarts Battle,2016,11960,7.46
Bärenpark,2017,12028,7.36
Notre Dame,2007,12243,7.34
San Juan,2004,22239,7.25
51st State: Master Set,2016,5156,7.66
At the Gates of Loyang,2009,9766,7.38
Endeavor,2009,9088,7.4
In the Year of the Dragon,2007,10791,7.35
The Pillars of the Earth,2006,16327,7.29
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,4138,7.78
For Sale,1997,23898,7.22
Bruxelles 1893,2013,4723,7.65
Saint Petersburg,2004,14545,7.3
Claustrophobia,2009,6650,7.52
Blood Bowl: Team Manager - The Card Game,2011,10336,7.38
Clash of Cultures,2012,5185,7.62
Azul: Stained Glass of Sintra,2018,8824,7.42
Bunny Kingdom,2017,7627,7.46
Charterstone,2017,11747,7.38
Ticket to Ride: Märklin,2006,8717,7.41
Dune,1979,5491,7.62
King of Tokyo,2011,57621,7.18
Civilization,1980,7111,7.5
Arkham Horror (Third Edition),2018,4896,7.78
Space Hulk (Third Edition),2009,6707,7.53
Gùgōng,2018,6130,7.53
Mythic Battles: Pantheon,2017,2543,8.46
Nippon,2015,4196,7.69
Tiny Towns,2019,10174,7.36
San Juan (Second Edition),2014,5841,7.52
Gizmos,2018,7386,7.45
Codenames: Pictures,2016,17032,7.26
Advanced Squad Leader,1985,3490,7.99
Lost Cities,1999,37280,7.18
Calico,2020,2986,8.0
Mice and Mystics,2012,16743,7.3
Sword & Sorcery,2017,3632,8.04
Too Many Bones: Undertow,2018,1651,8.78
Pandemic Legacy: Season 0,2020,1536,8.8
The Manhattan Project,2012,9105,7.36
Macao,2009,6962,7.42
Fresco,2010,11842,7.29
Blood Bowl: Living Rulebook,2004,3354,7.85
Arkham Horror,2005,36786,7.26
Innovation,2010,14865,7.25
The Godfather: Corleone's Empire,2017,5727,7.55
Dice Forge,2017,14853,7.29
Maria,2009,2775,7.97
London (Second Edition),2017,4458,7.61
Santa Maria,2017,5220,7.55
A Few Acres of Snow,2011,7427,7.4
Stockpile,2015,5525,7.52
Abyss,2014,10215,7.33
Monikers,2015,3491,7.79
Firefly: The Game,2013,10524,7.39
Flash Point: Fire Rescue,2011,20947,7.2
Thunderstone Quest,2018,3159,7.91
Lancaster,2011,6675,7.42
Glen More,2010,8686,7.32
Newton,2018,4335,7.62
Quadropolis,2016,11050,7.29
Risk Legacy,2011,7555,7.42
Heroscape Master Set: Rise of the Valkyrie,2004,7803,7.44
Pandemic: Fall of Rome,2018,3858,7.71
Millennium Blades,2016,3895,7.72
Kingsburg,2007,18339,7.19
The Great Zimbabwe,2012,3192,7.79
Carpe Diem,2018,4687,7.58
Downforce,2017,7914,7.36
Star Realms: Frontiers,2018,2643,8.02
Pandemic: The Cure,2014,9398,7.3
BattleLore,2006,9091,7.36
Amerigo,2013,5501,7.47
Chinatown,1999,8468,7.33
Nusfjord,2017,4124,7.62
Spartacus: A Game of Blood and Treachery,2012,7172,7.46
Lord of the Rings: The Confrontation,2005,5656,7.47
Sheriff of Nottingham,2014,29603,7.14
Biblios,2007,15008,7.19
Amun-Re,2003,8564,7.32
BattleCON: Devastation of Indines,2013,2919,7.92
Twice as Clever!,2019,4915,7.53
Awkward Guests,2016,3648,7.73
Commands & Colors: Napoleonics,2010,2644,8.0
Pandemic: Reign of Cthulhu,2016,7890,7.4
1775: Rebellion,2013,3712,7.67
Skull,2011,14213,7.21
Descent: Journeys in the Dark,2005,11319,7.3
Blood Bowl (Third Edition),1994,5267,7.54
Shadows of Brimstone: City of the Ancients,2014,3401,7.97
Forbidden Desert,2013,25599,7.14
Raptor,2015,7897,7.33
Point Salad,2019,8042,7.33
Mansions of Madness,2011,12747,7.29
Madeira,2013,3910,7.62
"Labyrinth: The War on Terror, 2001 - ?",2010,4315,7.59
Mystic Vale,2016,8975,7.3
PitchCar,1995,9645,7.25
Deus,2014,7293,7.32
Camel Up (Second Edition),2018,3744,7.67
London,2010,6281,7.36
Colt Express,2014,24739,7.12
Archipelago,2012,7373,7.34
Hanabi,2010,38927,7.08
Schotten Totten,1999,7624,7.31
Catan,1995,101510,7.15
Legends of Andor,2012,15017,7.21
First Class: All Aboard the Orient Express!,2016,4843,7.47
Dice Throne: Season Two - Battle Chest,2018,2237,8.19
Sentinels of the Multiverse,2011,14766,7.22
Freedom: The Underground Railroad,2012,3875,7.59
Roads & Boats,1999,3079,7.73
Small World Underground,2011,9799,7.27
Citadels,2000,48360,7.08
The Grizzled,2015,12228,7.2
Shadows over Camelot,2005,25447,7.12
Euphoria: Build a Better Dystopia,2013,9358,7.25
Egizia,2009,5134,7.42
Imhotep,2016,11784,7.2
Lords of Vegas,2010,6546,7.34
