size,insert,shaker,select
100,444248,650640,233515
200,1734685,2536449,895593
300,3853448,5797428,2076416
400,7027511,10861004,3862679
500,10996683,17645316,6122028
600,15990398,25911669,8839561
700,21948567,36308538,12330891
800,29169452,47516062,15895489
900,37706970,60883267,20528770
1000,46118476,75814417,26127407
